id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,94093.0,-0.03705,1868659670753,1,17758667303,19857096.0,108786.0,67.81,2025-04-28T04:52:29.809Z
ethereum,eth,Ethereum,1789.5,-0.64146,216052755466,2,9681060123,120725290.8568705,4878.26,0.432979,2025-04-28T04:52:30.140Z
tether,usdt,Tether,1.0,-0.00086,147280995849,3,30397408802,147243667464.5653,1.32,0.572521,2025-04-28T04:52:30.014Z
ripple,xrp,XRP,2.27,4.61956,132773055408,4,3755648984,58444738299.0,3.4,0.00268621,2025-04-28T04:52:29.692Z
binancecoin,bnb,BNB,604.54,0.62293,88191446949,5,543886638,145887575.79,788.84,0.0398177,2025-04-28T04:52:29.332Z
solana,sol,Solana,149.0,1.5419,77125820914,6,2505777204,517548877.582213,293.31,0.500801,2025-04-28T04:52:30.871Z
usd-coin,usdc,USDC,0.999901,-0.00525,62073446755,7,4423417237,62079314926.18856,1.17,0.877647,2025-04-28T04:52:26.295Z
dogecoin,doge,Dogecoin,0.179412,0.66795,26739331174,8,1148494672,149029586383.7052,0.731578,8.69e-05,2025-04-28T04:52:29.467Z
cardano,ada,Cardano,0.71397,2.45312,25727657458,9,629489010,36025982918.44367,3.09,0.01925275,2025-04-28T04:52:28.795Z
tron,trx,TRON,0.244753,-3.0555,23236217800,10,573865202,94937281655.63779,0.431288,0.00180434,2025-04-28T04:52:28.467Z
